x,y,z,target,target_name
-2.18,16.18,44.18,0.0,pitch
-2.18,16.18,44.18,0.0,pitch
-2.0,16.18,44.18,0.0,pitch
-2.0,16.18,44.18,0.0,pitch
-2.0,16.18,44.18,0.0,pitch
-2.0,16.18,44.18,0.0,pitch
-2.0,16.18,44.18,0.0,pitch
-2.0,16.18,44.18,0.0,pitch
-2.0,16.18,44.29,0.0,pitch
-2.0,16.18,44.29,0.0,pitch
-2.0,16.18,44.29,0.0,pitch
-2.0,16.09,44.18,0.0,pitch
-2.0,16.09,44.18,0.0,pitch
-2.0,16.09,44.18,0.0,pitch
-2.09,16.18,44.29,0.0,pitch
-2.09,16.18,44.29,0.0,pitch
-2.09,16.18,44.29,0.0,pitch
-2.0,16.18,44.29,0.0,pitch
-2.0,16.18,44.29,0.0,pitch
-2.0,16.18,44.29,0.0,pitch
-2.18,16.18,44.29,0.0,pitch
-2.18,16.18,44.29,0.0,pitch
-2.18,16.18,44.29,0.0,pitch
-2.0,16.09,44.18,0.0,pitch
-2.0,16.09,44.18,0.0,pitch
-2.0,16.09,44.18,0.0,pitch
-2.09,16.18,44.18,0.0,pitch
-2.09,16.18,44.29,0.0,pitch
-2.09,16.18,44.29,0.0,pitch
-2.09,16.18,44.29,0.0,pitch
-2.0,16.18,44.29,0.0,pitch
-2.0,16.18,44.29,0.0,pitch
-2.0,16.18,44.29,0.0,pitch
-1.91,16.09,44.29,0.0,pitch
-1.91,16.09,44.29,0.0,pitch
-1.91,16.09,44.29,0.0,pitch
-2.0,16.09,44.29,0.0,pitch
-2.0,16.09,44.29,0.0,pitch
-2.0,16.09,44.29,0.0,pitch
-1.91,16.0,44.18,0.0,pitch
-1.91,16.0,44.18,0.0,pitch
-1.91,16.0,44.18,0.0,pitch
-1.91,16.0,44.18,0.0,pitch
-1.91,16.0,44.18,0.0,pitch
-1.91,16.0,44.18,0.0,pitch
-2.18,16.09,44.18,0.0,pitch
-2.18,16.09,44.18,0.0,pitch
-2.18,16.09,44.18,0.0,pitch
-1.91,15.91,44.18,0.0,pitch
-1.91,15.91,44.18,0.0,pitch
-1.91,15.91,44.18,0.0,pitch
-2.09,15.09,44.29,0.0,pitch
-2.09,15.09,44.29,0.0,pitch
-2.09,15.09,44.29,0.0,pitch
-2.09,15.09,44.29,0.0,pitch
-4.09,13.36,44.59,0.0,pitch
-4.09,13.36,44.59,0.0,pitch
-4.09,13.36,44.59,0.0,pitch
-7.0,13.64,44.29,0.0,pitch
-7.0,13.64,44.29,0.0,pitch
-7.0,13.64,44.29,0.0,pitch
-9.18,12.45,44.08,0.0,pitch
-9.18,12.45,44.08,0.0,pitch
-9.18,12.45,44.08,0.0,pitch
-11.73,11.91,43.57,0.0,pitch
-11.73,11.91,43.57,0.0,pitch
-11.73,11.91,43.57,0.0,pitch
-17.64,12.91,41.63,0.0,pitch
-17.64,12.91,41.63,0.0,pitch
-17.64,12.91,41.63,0.0,pitch
-22.91,13.82,39.29,0.0,pitch
-22.91,13.82,39.29,0.0,pitch
-22.91,13.82,39.29,0.0,pitch
-28.0,14.0,36.22,0.0,pitch
-28.0,14.0,36.22,0.0,pitch
-28.0,14.0,36.22,0.0,pitch
-33.09,14.82,32.55,0.0,pitch
-33.09,14.82,32.55,0.0,pitch
-33.09,14.82,32.55,0.0,pitch
-38.0,15.27,28.06,0.0,pitch
-38.0,15.27,28.06,0.0,pitch
-38.0,15.27,28.06,0.0,pitch
-41.55,15.55,23.78,0.0,pitch
-41.55,15.55,23.78,0.0,pitch
-41.55,15.55,23.78,0.0,pitch
-44.36,15.91,19.18,0.0,pitch
-44.36,15.91,19.18,0.0,pitch
-44.36,15.91,19.18,0.0,pitch
-47.27,15.0,14.08,0.0,pitch
-47.27,15.0,14.08,0.0,pitch
-47.27,15.0,14.08,0.0,pitch
-49.36,14.27,9.39,0.0,pitch
-49.36,14.27,9.39,0.0,pitch
-49.36,14.27,9.39,0.0,pitch
-50.27,14.0,5.82,0.0,pitch
-50.27,14.0,5.82,0.0,pitch
-50.27,14.0,5.82,0.0,pitch
-50.82,14.09,2.35,0.0,pitch
-50.82,14.09,2.35,0.0,pitch
-50.82,14.09,2.35,0.0,pitch
-51.0,13.91,-1.02,0.0,pitch
